id;house_number;street_address;county;district;city_town;postal_code;deleted
1;mindshare Interactions Versatile;Frozen Rubber line;navigating Sports;needs-based Passage;Customer Cambridgeshire end-to-end;51509;false
2;Buckinghamshire;Account;purple Credit Developer;Chile;invoice;84516;false
3;invoice Hat;Dollar Incredible;Grove hacking interactive;grow orchid Leone;Home Guilder;76577;true
4;ubiquitous Avon Orchestrator;Assimilated optical Rustic;alarm Dinar Bacon;object-oriented override;optical;7315;true
5;Technician Accounts blue;generating Administrator;deposit clicks-and-mortar;out-of-the-box payment calculating;payment boliviano Garden;37261;false
6;Architect;benchmark;Account;Personal calculating;Shoes;15031;false
7;navigating;compelling generating;Soft;systematic Avon analyzer;regional Regional withdrawal;93670;false
8;Gold;back Computers CSS;Extended copying optimize;Factors;visionary Soft olive;5456;true
9;bandwidth;navigate Beauty Court;mint Ramp;Chicken killer cyan;channels;23508;false
10;infomediaries Sausages;Specialist Granite;Jewelery;up Kids;Industrial USB;25631;true
