id;name;code;description;deleted
1;Table;open-source;../fake-data/blob/hipster.txt;false
2;ivory Refined metrics;Checking Chief;../fake-data/blob/hipster.txt;true
3;Berkshire Planner enterprise;Electronics;../fake-data/blob/hipster.txt;true
4;Nevada;harness Georgia Hat;../fake-data/blob/hipster.txt;true
5;Tasty methodologies Realigned;Chicken Overpass;../fake-data/blob/hipster.txt;true
6;Music Investment;Investor compress;../fake-data/blob/hipster.txt;false
7;Human Specialist;Rubber;../fake-data/blob/hipster.txt;true
8;JSON Communications;connecting systems;../fake-data/blob/hipster.txt;false
9;open-source Avon;Borders invoice Sleek;../fake-data/blob/hipster.txt;false
10;Island Saint Money;TCP;../fake-data/blob/hipster.txt;true
