id;name;code;description;date_since;date_upto;deleted
1;Supervisor Berkshire;azure;../fake-data/blob/hipster.txt;2021-05-04T20:13:43;2021-05-04T03:33:41;true
2;SQL;haptic Bike;../fake-data/blob/hipster.txt;2021-05-04T09:56:59;2021-05-04T17:09:03;true
3;silver;Buckinghamshire Loan;../fake-data/blob/hipster.txt;2021-05-04T17:26:24;2021-05-04T07:09:17;false
4;Bedfordshire;portal Sausages;../fake-data/blob/hipster.txt;2021-05-04T11:01:33;2021-05-04T09:07:24;false
5;Delaware;Shirt;../fake-data/blob/hipster.txt;2021-05-04T13:12:30;2021-05-04T20:40:45;false
6;back backing;JBOD partnerships Spain;../fake-data/blob/hipster.txt;2021-05-05T00:50:56;2021-05-04T17:15:53;false
7;hub SSL Quality;Shirt out-of-the-box Triple-buffered;../fake-data/blob/hipster.txt;2021-05-04T16:26:27;2021-05-04T21:49:11;true
8;Chips;generating IB;../fake-data/blob/hipster.txt;2021-05-04T12:12:19;2021-05-04T10:43:53;true
9;Path calculate;synthesizing;../fake-data/blob/hipster.txt;2021-05-04T16:31:34;2021-05-04T08:45:48;false
10;RSS;impactful context-sensitive;../fake-data/blob/hipster.txt;2021-05-04T14:50:53;2021-05-04T19:03:12;false
